Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
War for the Planet of the Apes,(2017),12A,140 min,"
Action, Adventure, Drama            ",7.4,"
82        
        Metascore
            ","
    After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",Matt Reeves,Andy Serkis,Woody Harrelson,Steve Zahn,Karin Konoval,"225,890",$146.88M
Alita: Battle Angel,(2019),12A,122 min,"
Action, Adventure, Sci-Fi            ",7.3,"
53        
        Metascore
            ","
    A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",Robert Rodriguez,Rosa Salazar,Christoph Waltz,Jennifer Connelly,Mahershala Ali,"224,705",$85.71M
Ghost Rider,(2007),12A,110 min,"
Action, Fantasy, Thriller            ",5.2,"
35        
        Metascore
            ","
    When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.",Mark Steven Johnson,Nicolas Cage,Eva Mendes,Sam Elliott,Matt Long,"222,347",$115.80M
The Beach,(I) (2000),15,119 min,"
Adventure, Drama, Romance            ",6.7,"
43        
        Metascore
            ","
    Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",Danny Boyle,Leonardo DiCaprio,Daniel York,Patcharawan Patarakijjanon,Virginie Ledoyen,"221,653",$39.79M
Maze Runner: The Scorch Trials,(2015),12A,131 min,"
Action, Adventure, Horror            ",6.3,"
43        
        Metascore
            ","
    After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.",Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,"219,797",$81.70M
San Andreas,(2015),12A,114 min,"
Action, Adventure, Thriller            ",6.1,"
43        
        Metascore
            ","
    In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.",Brad Peyton,Dwayne Johnson,Carla Gugino,Alexandra Daddario,Colton Haynes,"210,943",$155.19M
Predators,(2010),15,107 min,"
Action, Adventure, Sci-Fi            ",6.4,"
51        
        Metascore
            ","
    A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.",Nimród Antal,Adrien Brody,Laurence Fishburne,Topher Grace,Alice Braga,"210,696",$52.00M
Planet of the Apes,(2001),12,119 min,"
Action, Adventure, Sci-Fi            ",5.7,"
50        
        Metascore
            ","
    In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",Tim Burton,Mark Wahlberg,Helena Bonham Carter,Tim Roth,Michael Clarke Duncan,"209,495",$180.01M
A Good Day to Die Hard,(2013),12A,98 min,"
Action, Thriller            ",5.3,"
28        
        Metascore
            ","
    John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.",John Moore,Bruce Willis,Jai Courtney,Sebastian Koch,Mary Elizabeth Winstead,"197,148",$67.35M
The Happening,(2008),15,91 min,"
Drama, Mystery, Sci-Fi            ",5.0,"
34        
        Metascore
            ","
    A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",M. Night Shyamalan,Mark Wahlberg,Zooey Deschanel,John Leguizamo,Ashlyn Sanchez,"194,919",$64.51M
Traffic,(2000),18,147 min,"
Crime, Drama, Thriller            ",7.6,"
86        
        Metascore
            ","
    A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",Steven Soderbergh,Michael Douglas,Benicio Del Toro,Catherine Zeta-Jones,Jacob Vargas,"194,841",$124.12M
Ad Astra,(2019),12A,123 min,"
Adventure, Drama, Mystery            ",6.5,"
80        
        Metascore
            ","
    Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.",James Gray,Brad Pitt,Tommy Lee Jones,Ruth Negga,Donald Sutherland,"194,500",$35.40M
